State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
IL,Pike County,Noncore,25,191
IL,Randolph County,Noncore,67,393
IL,Richland County,Noncore,42,292
IL,Rock Island County,Medium metro,268,1996
IL,St. Clair County,Large fringe metro,421,3198
IL,Saline County,Noncore,44,411
IL,Sangamon County,Small metro,371,3306
IL,Schuyler County,Noncore,15,109
IL,Stark County,Medium metro,12,70
IL,Stephenson County,Micropolitan,85,718
IL,Tazewell County,Medium metro,115,1255
IL,Union County,Noncore,17,227
IL,Vermilion County,Small metro,78,992
IL,Warren County,Noncore,24,198
IL,Washington County,Noncore,20,126
IL,Wayne County,Noncore,29,179
IL,White County,Noncore,22,215
IL,Whiteside County,Micropolitan,163,851
IL,Will County,Large fringe metro,717,5779
IL,Williamson County,Small metro,114,1067
IL,Winnebago County,Medium metro,512,4223
IL,Woodford County,Medium metro,36,382
IN,Adams County,Micropolitan,27,298
IN,Allen County,Medium metro,788,5599
IN,Bartholomew County,Small metro,168,1067
IN,Blackford County,Noncore,11,143
IN,Boone County,Large fringe metro,79,549
IN,Brown County,Large fringe metro,18,150
IN,Cass County,Micropolitan,56,397
IN,Clark County,Large fringe metro,118,1232
IN,Clay County,Small metro,17,238
IN,Clinton County,Micropolitan,24,364
IN,Daviess County,Micropolitan,45,353
IN,Dearborn County,Large fringe metro,66,472
IN,Decatur County,Micropolitan,58,319
IN,De Kalb County,Micropolitan,68,500
IN,Delaware County,Small metro,204,1829
IN,Dubois County,Micropolitan,89,599
IN,Elkhart County,Small metro,389,2258
IN,Fayette County,Micropolitan,21,222
IN,Floyd County,Large fringe metro,174,1279
IN,Fountain County,Noncore,18,176
IN,Fulton County,Noncore,22,220
IN,Gibson County,Noncore,28,251
IN,Grant County,Micropolitan,119,908
IN,Greene County,Noncore,57,298
IN,Hamilton County,Large fringe metro,307,2354
IN,Hancock County,Large fringe metro,85,734
IN,Harrison County,Large fringe metro,33,405
IN,Hendricks County,Large fringe metro,294,1863
IN,Henry County,Micropolitan,40,550
IN,Howard County,Small metro,141,1228
IN,Huntington County,Micropolitan,39,373
IN,Jackson County,Micropolitan,61,532
IN,Jasper County,Large fringe metro,19,279
IN,Jefferson County,Micropolitan,46,388
IN,Jennings County,Micropolitan,12,219
IN,Johnson County,Large fringe metro,179,1390
IN,Knox County,Micropolitan,124,669
IN,Kosciusko County,Micropolitan,45,683
IN,Lagrange County,Noncore,47,258
IN,Lake County,Large fringe metro,849,6944
IN,La Porte County,Small metro,146,1350
IN,Lawrence County,Micropolitan,61,506
IN,Madison County,Large fringe metro,227,1665
IN,Marion County,Large central metro,1796,12877
IN,Marshall County,Micropolitan,75,529
IN,Martin County,Noncore,12,71
IN,Miami County,Micropolitan,25,354
IN,Monroe County,Small metro,203,1608
IN,Montgomery County,Micropolitan,44,393
IN,Morgan County,Large fringe metro,59,667
IN,Newton County,Large fringe metro,19,133
IN,Noble County,Micropolitan,45,440
IN,Orange County,Noncore,25,203
IN,Owen County,Small metro,29,220
IN,Perry County,Noncore,20,183
IN,Pike County,Micropolitan,22,134
IN,Porter County,Large fringe metro,207,1948
IN,Pulaski County,Noncore,27,156
IN,Putnam County,Large fringe metro,26,368
IN,Randolph County,Noncore,14,241
IN,Ripley County,Noncore,39,352
IN,St. Joseph County,Medium metro,420,3615
IN,Scott County,Large fringe metro,17,289
IN,Shelby County,Large fringe metro,73,517
